City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Dubinino,RU,55.6192,89.0911,54.9,89,76,4.54,broken clouds
307,Belyy Yar,RU,53.6039,91.3903,55.29,94,0,4.47,clear sky
308,Zabaykalsk,RU,49.6333,117.3167,63.66,92,100,7.05,overcast clouds
309,Margate,GB,51.3813,1.3862,63.19,84,98,16.13,overcast clouds
310,Dubbo,AU,-32.25,148.6167,46.53,93,100,11.5,overcast clouds
311,Bengkulu,ID,-3.8004,102.2655,75.65,88,89,4.0,overcast clouds
312,Pokhara,NP,28.2333,83.9833,72.16,86,95,3.27,overcast clouds
313,Sharlyk,RU,52.9167,54.75,62.24,84,5,8.61,clear sky
314,Yazd,IR,31.8972,54.3675,93.31,12,0,4.61,clear sky
315,Minab,IR,27.1467,57.0801,89.92,74,96,2.3,overcast clouds
316,Bafra,TR,41.5678,35.9069,66.69,78,0,6.4,clear sky
317,Novomalorossiyskaya,RU,45.6348,39.8948,63.21,66,76,7.18,broken clouds
318,Port Hardy,CA,50.6996,-127.4199,62.78,72,40,14.97,scattered clouds
319,Kigoma,TZ,-4.8769,29.6267,73.0,66,13,2.62,few clouds
320,Ara,IN,25.5667,84.6667,80.49,73,100,9.08,overcast clouds
321,Ishigaki,JP,24.3448,124.1572,86.13,84,40,10.36,scattered clouds
322,Alofi,NU,-19.0595,-169.9187,74.17,70,89,20.15,overcast clouds
323,Praya,CV,14.9215,-23.5087,79.34,83,75,5.75,broken clouds
324,Cayenne,GF,4.9333,-52.3333,83.08,1,40,3.44,scattered clouds
325,Inirida,CO,3.8653,-67.9239,73.54,99,98,0.67,overcast clouds
326,Horki,BY,54.2861,30.9842,61.29,89,72,7.83,broken clouds
327,Markova,UA,48.6758,24.4138,64.92,78,86,3.47,overcast clouds
328,Bure,ET,10.7,37.0667,57.0,98,98,1.05,overcast clouds
329,Znamenskoye,RU,57.1281,73.8282,51.04,98,99,5.21,overcast clouds
330,Port Macquarie,AU,-31.4333,152.9167,59.9,77,84,7.43,broken clouds
331,Eganville,CA,45.5334,-77.0994,76.68,67,81,6.17,broken clouds
